ReleaseCheck,index,category,sub_id,next_index,view_mode,ok_sensor,ng_sensor,motion,expression,check_word,answer_type,unibo_talk,talk_subtitle,ok_result,ok_subtitle,ng_result,ng_subtitle
,,,,,,,,,,,,,,,,,
◯,1,adduser,1,2,-1,none,none,none,smile,僕覚える,add_personal_start,,,かしこまりました。ユーザー登録を始めます。,かしこまりました。ユーザー登録を始めます。,,
◯,2,adduser,1,2,-1,none,none,none,smile,*俺覚える,add_personal_start,,,かしこまりました。ユーザー登録を始めます。,かしこまりました。ユーザー登録を始めます。,,
◯,3,adduser,1,2,-1,none,none,none,smile,俺覚える,add_personal_start,,,かしこまりました。ユーザー登録を始めます。,かしこまりました。ユーザー登録を始めます。,,
◯,4,adduser,1,2,-1,none,none,none,smile,*僕覚える,add_personal_start,,,かしこまりました。ユーザー登録を始めます。,かしこまりました。ユーザー登録を始めます。,,
◯,5,adduser,1,2,-1,none,none,none,smile,*私覚える,add_personal_start,,,かしこまりました。ユーザー登録を始めます。,かしこまりました。ユーザー登録を始めます。,,
◯,6,adduser,1,2,-1,none,none,none,smile,くん私覚える,add_personal_start,,,かしこまりました。ユーザー登録を始めます。,かしこまりました。ユーザー登録を始めます。,,
◯,7,adduser,1,2,-1,none,none,none,smile,私覚える,add_personal_start,,,かしこまりました。ユーザー登録を始めます。,かしこまりました。ユーザー登録を始めます。,,
◯,8,adduser,1,2,-1,none,none,none,smile,登録,add_personal_start,,,かしこまりました。ユーザー登録を始めます。,かしこまりました。ユーザー登録を始めます。,,
◯,9,adduser,2,3,-1,none,none,none,unchanged,,string_check,あなたのお名前を教えて下さい。,あなたのお名前を教えて下さい。,[result0]さんですね。,[result0]さんですね。,,
◯,10,adduser,3,4,-1,none,none,none,unchanged,,unsigned_num_check,[personal0]さんは、何歳ですか？,[personal0]さんは、何歳ですか？,[result0]歳ですね。,[result0]歳ですね。,もう一度お願いします。,もう一度お願いします。
◯,11,adduser,4,5,-1,none,none,none,unchanged,,sex_check,[personal0]さんは、男の子？女の子？,[personal0]さんは、男の子？女の子？,[result0]ですね。,[result0]ですね。,もう一度お願いします。,もう一度お願いします。
◯,12,adduser,5,6,2,none,none,none,unchanged,,face_check,[personal0]さんの顔を登録しますので、ボクに顔を見せて下さい。,[personal0]さんの顔を登録しますので、ボクに顔を見せて下さい。,[personal0]さんの顔を覚えました。,[personal0]さんの顔を覚えました。,もう一度お願いします。,もう一度お願いします。
◯,13,adduser,6,-1,-1,none,none,none,smile,,end,,,これから宜しくお願いします。,これから宜しくお願いします。,,
